Alignment_name	No_of_taxa	Alignment_length	Total_matrix_cells	Undetermined_characters	Missing_percent	No_variable_sites	Proportion_variable_sites	Parsimony_informative_sites	Proportion_parsimony_informative	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
HOG0009844	30	615	18450	818	4.434	158	0.257	48	0.078	1228	344	1012	1489	490	1384	478	1194	1549	1711	688	241	856	856	999	911	692	995	34	481	0	0	0	0	0	0	818	0
HOG0009847	21	886	18606	562	3.021	252	0.284	146	0.165	1414	552	838	1225	363	1441	666	235	1290	1474	142	672	1901	876	858	2179	844	762	185	127	0	0	0	0	0	0	562	0
HOG0009859	31	412	12772	230	1.801	54	0.131	3	0.007	707	185	702	1008	675	911	275	1007	705	796	268	305	788	487	768	586	730	974	151	514	0	0	0	0	0	0	230	0
HOG0009865	30	590	17700	1734	9.797	231	0.392	142	0.241	893	615	841	1244	332	1270	834	629	880	1210	587	935	752	591	976	1579	568	728	41	461	0	0	0	0	0	0	1734	0
HOG0009871	29	718	20822	1401	6.728	212	0.295	115	0.16	1447	826	547	804	1167	1119	282	1564	1009	2528	583	608	700	469	704	1177	1064	1758	396	669	0	0	0	0	0	0	1401	0
HOG0009873	30	650	19500	244	1.251	369	0.568	174	0.268	1212	277	687	1029	1478	958	339	1580	1219	1932	421	795	811	685	1145	1475	985	1360	236	632	0	0	0	0	0	0	244	0
HOG0009874	29	750	21750	300	1.379	107	0.143	31	0.041	821	465	1283	1341	854	1402	755	1066	1122	2245	257	1068	1161	1288	1551	1060	1264	1330	370	747	0	0	0	0	0	0	300	0
HOG0009876	31	497	15407	120	0.779	95	0.191	19	0.038	1091	275	1024	975	465	707	422	1252	563	1628	183	948	800	1076	518	952	675	1392	184	157	0	0	0	3	0	0	117	0
HOG0009882	31	327	10137	445	4.39	144	0.44	108	0.33	702	104	440	435	686	596	453	476	520	876	268	427	376	222	603	675	439	676	330	388	0	0	0	0	0	0	445	0
HOG0009886	29	206	5974	160	2.678	68	0.33	35	0.17	264	263	162	534	315	629	225	150	511	335	169	142	430	279	322	540	185	274	27	58	0	0	0	0	0	0	160	0
HOG0009900	30	375	11250	277	2.462	206	0.549	100	0.267	628	177	472	420	330	738	435	650	696	1353	219	562	534	365	639	798	680	650	201	426	0	0	0	2	0	0	275	0
HOG0009904	30	456	13680	574	4.196	132	0.289	68	0.149	478	176	702	609	944	625	345	940	912	1578	337	407	569	315	555	994	626	1211	351	432	0	0	0	0	0	0	574	0
HOG0009924	31	1252	38812	1290	3.324	612	0.489	201	0.161	2437	637	1996	2974	1460	1396	994	2352	2678	3997	919	1696	1623	1530	2181	3309	2191	1714	335	1103	0	0	0	12	0	0	1278	0
HOG0009934	31	233	7223	144	1.994	120	0.515	37	0.159	811	206	169	278	463	371	417	566	274	651	306	195	282	79	285	375	290	396	211	454	0	0	0	0	0	0	144	0
HOG0009941	29	433	12557	494	3.934	61	0.141	23	0.053	600	166	418	597	256	889	191	523	389	708	385	619	1079	853	923	1404	904	658	167	334	0	0	0	0	0	0	494	0
HOG0009949	30	284	8520	86	1.009	19	0.067	9	0.032	377	296	342	492	451	356	92	708	479	536	276	387	327	413	609	549	454	850	59	381	0	0	0	0	0	0	86	0
HOG0009952	30	274	8220	241	2.932	158	0.577	67	0.245	246	68	482	626	283	589	472	246	617	714	290	219	425	473	377	734	262	371	120	365	0	0	0	0	0	0	241	0
HOG0009955	28	253	7084	359	5.068	170	0.672	100	0.395	498	256	116	189	693	553	256	334	177	995	138	131	459	161	459	319	226	207	140	418	0	0	0	1	0	0	358	0
HOG0009956	28	209	5852	120	2.051	159	0.761	101	0.483	313	75	160	428	434	252	94	413	619	585	118	196	332	175	207	434	236	358	77	226	0	0	0	0	0	0	120	0
HOG0009963	30	281	8430	343	4.069	101	0.359	41	0.146	535	127	356	714	313	393	188	337	407	972	315	293	249	463	438	870	345	395	85	292	0	0	0	0	0	0	343	0
HOG0009964	31	354	10974	231	2.105	172	0.486	62	0.175	912	33	382	1277	302	610	63	547	506	859	369	436	932	891	329	814	579	658	1	243	0	0	0	0	0	0	231	0
HOG0009965	30	398	11940	136	1.139	149	0.374	86	0.216	1464	57	421	897	354	710	117	530	567	819	298	489	920	979	299	900	1101	668	4	210	0	0	0	0	0	0	136	0
HOG0009967	30	232	6960	220	3.161	53	0.228	25	0.108	402	89	491	530	163	465	224	260	434	697	179	297	518	239	403	398	297	360	117	177	0	0	0	0	0	0	220	0
HOG0009968	31	215	6665	90	1.35	88	0.409	23	0.107	546	89	401	529	191	443	81	273	452	628	120	240	524	341	495	302	330	244	165	181	0	0	0	0	0	0	90	0
HOG0009972	27	138	3726	4	0.107	16	0.116	3	0.022	327	159	270	135	133	539	39	201	243	196	161	107	54	95	165	187	190	306	53	162	0	0	0	4	0	0	0	0
HOG0009976	28	326	9128	83	0.909	200	0.613	147	0.451	828	129	221	861	474	403	143	354	482	1252	126	384	520	458	645	593	381	391	124	276	0	0	0	0	0	0	83	0
HOG0009982	29	827	23983	379	1.58	441	0.533	257	0.311	1843	279	1340	1100	610	1745	735	874	1484	2468	530	1276	1477	1163	1026	2482	1384	1247	264	277	0	0	0	3	0	0	376	0
HOG0009987	29	306	8874	3	0.034	215	0.703	175	0.572	532	350	547	621	397	404	130	646	642	652	273	462	313	317	533	572	453	657	71	299	0	0	0	0	0	0	3	0
HOG0009989	28	938	26264	1322	5.034	592	0.631	298	0.318	1838	86	2037	1649	1343	1638	354	782	1786	2567	410	731	2175	1581	962	2701	912	1023	167	200	0	0	0	0	0	0	1322	0
HOG0009990	30	906	27180	411	1.512	449	0.496	305	0.337	1900	310	2087	2502	1230	1232	316	1057	1931	2629	311	1428	2095	1285	699	2570	1313	1417	210	247	0	0	0	2	0	0	409	0
HOG0009996	27	112	3024	10	0.331	24	0.214	10	0.089	162	58	244	187	163	246	80	217	325	246	25	106	88	257	108	51	184	186	0	81	0	0	0	0	0	0	10	0
HOG0010008	27	312	8424	315	3.739	173	0.554	111	0.356	486	358	484	427	527	565	231	549	318	1073	157	286	222	253	316	413	340	624	192	288	0	0	0	0	0	0	315	0
HOG0010010	31	255	7905	194	2.454	179	0.702	36	0.141	653	586	188	273	249	512	193	554	309	564	125	295	763	184	489	446	416	566	95	251	0	0	0	0	0	0	194	0
HOG0010011	30	280	8400	207	2.464	122	0.436	55	0.196	691	549	149	246	249	811	181	325	337	596	204	331	909	280	502	581	309	618	120	205	0	0	0	0	0	0	207	0
HOG0010012	21	451	9471	1041	10.991	359	0.796	291	0.645	649	89	346	482	416	547	312	225	471	558	237	242	920	435	434	712	450	439	192	274	0	0	0	1	0	0	1040	0
HOG0010022	22	187	4114	89	2.163	37	0.198	18	0.096	330	86	88	461	244	305	149	246	188	356	100	151	169	107	96	434	134	148	64	169	0	0	0	0	0	0	89	0
HOG0010036	29	124	3596	25	0.695	46	0.371	23	0.185	225	60	188	342	144	229	38	164	316	298	88	134	92	95	208	176	319	264	86	105	0	0	0	0	0	0	25	0
HOG0010044	30	564	16920	398	2.352	164	0.291	43	0.076	1073	210	1185	1185	403	641	417	1157	1377	1612	547	431	801	602	850	1265	1013	938	147	668	0	0	0	0	0	0	398	0
HOG0010046	28	192	5376	234	4.353	113	0.589	36	0.188	712	4	3	3	6	367	164	150	49	103	190	251	917	305	90	337	548	346	28	569	0	0	0	0	0	0	234	0
HOG0010047	28	715	20020	1120	5.594	391	0.547	289	0.404	1050	270	965	1193	791	853	483	1116	1244	1959	345	956	1057	634	1116	1728	1003	1353	262	522	0	0	0	0	0	0	1120	0
HOG0010048	31	729	22599	543	2.403	116	0.159	62	0.085	1243	237	1094	1558	781	743	453	1404	1564	2194	436	1093	1523	1066	971	2150	1457	1472	271	346	0	0	0	1	0	0	542	0
HOG0010052	28	430	12040	445	3.696	242	0.563	164	0.381	892	317	567	738	502	756	432	508	578	1213	284	440	723	417	594	731	511	925	162	305	0	0	0	1	0	0	444	0
HOG0010054	29	232	6728	227	3.374	91	0.392	70	0.302	675	132	412	264	562	477	34	310	165	462	114	269	295	417	211	495	304	405	143	355	0	0	0	0	0	0	227	0
HOG0010057	31	334	10354	108	1.043	88	0.263	54	0.162	474	212	484	619	727	480	275	586	712	1102	315	559	542	382	493	482	457	545	215	585	0	0	0	0	0	0	108	0
HOG0010067	29	473	13717	550	4.01	67	0.142	24	0.051	913	51	678	642	176	925	282	774	519	632	327	706	1707	596	695	1243	937	724	58	582	0	0	0	0	0	0	550	0
HOG0010068	30	533	15990	669	4.184	58	0.109	34	0.064	1150	24	606	935	229	901	269	767	477	809	336	702	2127	663	814	1676	1058	1024	60	694	0	0	0	2	0	0	667	0
HOG0010078	30	247	7410	383	5.169	192	0.777	132	0.534	582	108	383	621	266	711	166	289	353	504	128	190	434	229	586	555	272	312	150	188	0	0	0	1	0	0	382	0
HOG0010085	30	354	10620	73	0.687	61	0.172	29	0.082	691	88	676	640	329	778	359	481	808	985	206	553	974	245	481	629	706	621	57	240	0	0	0	0	0	0	73	0
HOG0010088	31	675	20925	591	2.824	173	0.256	74	0.11	1211	182	1235	2112	564	1547	336	796	1213	1189	348	927	934	817	1948	1723	1025	1639	114	474	0	0	0	1	0	0	590	0
HOG0010111	31	319	9889	388	3.924	163	0.511	89	0.279	524	347	399	857	328	574	328	512	973	646	238	398	589	389	285	644	581	543	181	165	0	0	0	7	0	0	381	0
HOG0010115	30	672	20160	67	0.332	100	0.149	46	0.068	906	449	1258	1652	1132	1163	518	962	1544	2176	737	509	817	1069	1201	1306	741	1074	210	669	0	0	0	0	0	0	67	0
HOG0010122	30	355	10650	295	2.77	209	0.589	157	0.442	678	662	334	649	340	854	302	340	686	763	220	614	131	371	768	970	646	532	224	271	0	0	0	0	0	0	295	0
HOG0010123	31	354	10974	230	2.096	79	0.223	43	0.121	821	685	374	704	400	1085	288	212	797	921	192	440	210	434	743	916	487	550	223	262	0	0	0	0	0	0	230	0
HOG0010124	31	831	25761	564	2.189	340	0.409	206	0.248	1795	614	1775	2184	905	1240	525	1457	2298	1926	725	1360	1051	1143	1010	1550	1032	1703	90	814	0	0	0	0	0	0	564	0
HOG0010125	30	842	25260	283	1.12	378	0.449	176	0.209	1962	496	1348	2659	963	1087	315	1198	2525	1889	668	1116	1219	1290	851	1522	1250	1831	118	670	0	0	0	0	0	0	283	0
HOG0010126	30	306	9180	613	6.678	184	0.601	65	0.212	308	263	254	299	727	430	286	629	454	879	230	278	575	305	376	406	627	443	223	575	0	0	0	0	0	0	613	0
HOG0010127	30	307	9210	350	3.8	122	0.397	32	0.104	516	203	230	313	730	418	301	583	540	1102	158	258	589	233	444	481	539	478	201	543	0	0	0	0	0	0	350	0
HOG0010130	31	207	6417	287	4.472	84	0.406	41	0.198	372	304	305	391	183	382	156	238	511	669	146	182	364	227	146	290	362	545	34	323	0	0	0	1	0	0	286	0
HOG0010132	30	796	23880	331	1.386	115	0.144	29	0.036	1343	330	1500	2652	1278	798	414	1265	1504	2687	553	1172	711	947	1156	1700	1510	1289	118	622	0	0	0	0	0	0	331	0
HOG0010133	30	812	24360	235	0.965	62	0.076	30	0.037	1208	324	1727	2466	1185	996	471	1333	1600	2806	769	992	892	1002	1148	1881	1263	1263	148	651	0	0	0	6	0	0	229	0
HOG0010135	30	350	10500	440	4.19	136	0.389	100	0.286	416	346	470	597	699	633	89	531	780	1130	381	586	279	269	396	826	373	704	231	324	0	0	0	0	0	0	440	0
HOG0010136	30	335	10050	682	6.786	273	0.815	184	0.549	757	154	473	1033	284	715	172	385	357	1033	216	203	424	389	435	876	389	588	283	202	0	0	0	2	0	0	680	0
HOG0010137	29	260	7540	229	3.037	153	0.588	108	0.415	580	181	282	558	379	489	142	316	287	737	190	191	505	366	375	629	272	394	267	171	0	0	0	2	0	0	227	0
HOG0010144	29	268	7772	229	2.946	110	0.41	53	0.198	506	113	289	221	636	624	88	473	315	1217	336	216	178	306	254	461	355	503	205	247	0	0	0	0	0	0	229	0
HOG0010145	31	267	8277	3	0.036	114	0.427	52	0.195	583	125	323	223	662	724	192	604	312	1418	401	216	226	316	272	384	346	523	217	207	0	0	0	0	0	0	3	0
HOG0010146	30	337	10110	117	1.157	130	0.386	64	0.19	765	149	500	665	347	833	123	609	839	878	262	332	445	344	329	747	543	796	2	485	0	0	0	0	0	0	117	0
HOG0010148	30	560	16800	111	0.661	153	0.273	79	0.141	1317	150	1112	788	925	1573	292	1423	1042	1273	353	783	731	559	737	1109	901	947	123	551	0	0	0	1	0	0	110	0
HOG0010149	29	566	16414	49	0.299	265	0.468	86	0.152	1285	286	946	825	819	1468	245	1168	666	1303	378	558	869	575	1141	1166	803	1147	120	597	0	0	0	0	0	0	49	0
HOG0010158	29	178	5162	204	3.952	66	0.371	9	0.051	259	106	274	334	112	220	109	63	599	143	99	147	312	288	328	795	397	317	30	26	0	0	0	0	0	0	204	0
HOG0010165	29	188	5452	125	2.293	93	0.495	60	0.319	555	131	301	320	177	537	256	308	515	318	131	179	230	103	166	192	319	495	29	65	0	0	0	0	0	0	125	0
HOG0010170	30	282	8460	129	1.525	145	0.514	101	0.358	813	231	371	545	328	638	137	614	546	670	83	267	412	390	358	403	492	554	88	391	0	0	0	0	0	0	129	0
HOG0010175	28	526	14728	701	4.76	350	0.665	200	0.38	1088	350	694	727	786	724	449	860	1095	1173	229	582	607	457	1008	1107	811	536	92	652	0	0	0	0	0	0	701	0
HOG0010176	31	614	19034	651	3.42	301	0.49	194	0.316	1417	280	790	1027	954	1028	501	937	1109	1763	256	1085	861	561	1169	1976	1030	640	101	898	0	0	0	0	0	0	651	0
HOG0010184	29	332	9628	146	1.516	90	0.271	63	0.19	804	204	274	420	297	380	209	85	497	739	281	694	767	471	579	1526	439	406	115	295	0	0	0	0	0	0	146	0
HOG0010187	29	403	11687	407	3.483	288	0.715	198	0.491	810	171	552	720	469	579	349	232	629	1023	141	369	1163	495	676	1462	537	689	133	81	0	0	0	0	0	0	407	0
HOG0010192	29	184	5336	73	1.368	96	0.522	80	0.435	408	238	122	110	473	557	38	479	78	635	214	108	176	97	216	252	224	367	219	252	0	0	0	0	0	0	73	0
HOG0010193	31	189	5859	7	0.119	82	0.434	58	0.307	569	337	200	196	415	547	18	586	133	689	121	188	201	60	260	281	139	372	313	227	0	0	0	0	0	0	7	0
HOG0010195	31	607	18817	436	2.317	269	0.443	179	0.295	964	411	971	1082	858	1124	798	988	705	1914	528	824	1071	628	955	1265	1012	1023	317	943	0	0	0	0	0	0	436	0
HOG0010196	30	1045	31350	996	3.177	757	0.724	607	0.581	2022	367	1810	2308	1027	2337	442	2128	1531	2395	616	1621	1442	1268	1239	2323	2072	2416	210	780	0	0	0	0	0	0	996	0
HOG0010197	29	1003	29087	921	3.166	737	0.735	441	0.44	1569	548	1691	1920	990	2226	404	2258	949	1517	487	1610	1732	920	1227	2305	2341	2427	203	842	0	0	0	0	0	0	921	0
HOG0010200	30	583	17490	466	2.664	362	0.621	244	0.419	1524	382	456	559	1007	1229	172	1156	515	2445	444	657	951	856	652	1377	658	962	332	690	0	0	0	3	0	0	463	0
HOG0010203	30	190	5700	26	0.456	62	0.326	33	0.174	393	93	373	480	318	372	110	400	315	422	122	191	269	202	402	341	260	379	0	232	0	0	0	0	0	0	26	0
HOG0010208	29	330	9570	1003	10.481	204	0.618	133	0.403	714	322	172	364	338	660	429	100	469	748	223	182	930	417	544	802	443	366	176	168	0	0	0	0	0	0	1003	0
HOG0010211	31	719	22289	1401	6.286	355	0.494	245	0.341	1514	423	882	1292	941	1386	501	1402	875	2677	731	873	779	749	1189	935	1146	1328	371	894	0	0	0	0	0	0	1401	0
HOG0010213	30	501	15030	470	3.127	128	0.255	39	0.078	905	213	692	1265	746	1208	444	752	1021	1360	492	425	965	462	729	873	711	794	121	382	0	0	0	4	0	0	466	0
HOG0010225	27	197	5319	234	4.399	147	0.746	108	0.548	326	144	238	334	231	323	71	265	294	371	97	318	389	199	255	343	249	393	103	142	0	0	0	0	0	0	234	0
HOG0010227	28	206	5768	425	7.368	156	0.757	115	0.558	387	76	66	330	394	369	126	216	157	1082	220	117	280	250	191	282	206	323	39	232	0	0	0	0	0	0	425	0
HOG0010229	28	245	6860	97	1.414	189	0.771	150	0.612	376	226	213	259	262	330	149	271	430	1090	234	295	284	270	464	494	341	418	104	253	0	0	0	0	0	0	97	0
HOG0010232	30	422	12660	98	0.774	160	0.379	55	0.13	556	212	718	911	747	652	273	812	1330	1154	295	474	701	236	511	1094	733	769	89	295	0	0	0	0	0	0	98	0
HOG0010239	27	707	19089	2456	12.866	507	0.717	287	0.406	840	391	691	1473	881	926	492	1049	1234	1638	599	664	621	654	868	1027	893	1144	99	449	0	0	0	8	0	0	2448	0
HOG0010240	30	771	23130	1079	4.665	303	0.393	205	0.266	1011	431	980	1862	991	1240	757	1451	1508	2000	835	927	936	1006	1299	1316	1126	1526	155	694	0	0	0	0	0	0	1079	0
HOG0010251	29	1071	31059	4082	13.143	777	0.725	482	0.45	1079	652	1478	1875	1213	1285	776	1149	2186	2534	531	1402	1438	1244	1611	2308	1563	1157	368	1128	0	0	0	1	0	0	4081	0
HOG0010254	29	341	9889	510	5.157	110	0.323	39	0.114	588	250	700	587	320	134	211	576	589	1031	114	478	439	310	663	912	411	524	118	424	0	0	0	1	0	0	509	0
HOG0010255	31	363	11253	299	2.657	141	0.388	39	0.107	907	271	862	628	347	513	347	662	618	1097	129	467	462	282	750	1058	479	571	96	408	0	0	0	0	0	0	299	0
HOG0010256	30	656	19680	1228	6.24	232	0.354	133	0.203	1224	191	1129	1488	437	958	558	735	953	1396	447	698	1452	920	1333	1881	993	1011	159	489	0	0	0	0	0	0	1228	0
HOG0010261	30	380	11400	724	6.351	108	0.284	52	0.137	473	416	530	640	457	605	372	597	600	948	291	520	750	622	566	640	464	645	225	315	0	0	0	0	0	0	724	0
HOG0010262	29	368	10672	70	0.656	155	0.421	49	0.133	490	383	691	621	368	549	153	873	675	874	244	479	732	550	610	647	622	480	174	387	0	0	0	0	0	0	70	0
HOG0010263	30	314	9420	111	1.178	219	0.697	23	0.073	719	236	199	258	500	841	89	765	362	1353	150	380	399	207	183	811	533	940	118	266	0	0	0	0	0	0	111	0
HOG0010264	30	393	11790	28	0.237	169	0.43	120	0.305	788	218	389	418	618	922	186	1125	582	1672	226	487	386	244	219	942	821	991	186	342	0	0	0	0	0	0	28	0
HOG0010265	28	384	10752	440	4.092	237	0.617	105	0.273	1099	265	357	678	358	888	300	99	292	886	275	204	981	403	754	1147	599	347	62	318	0	0	0	0	0	0	440	0
HOG0010268	28	288	8064	57	0.707	139	0.483	110	0.382	609	280	710	487	341	490	163	637	676	336	110	528	507	169	295	257	427	503	195	287	0	0	0	0	0	0	57	0
HOG0010269	30	224	6720	11	0.164	140	0.625	110	0.491	643	197	183	95	204	620	75	437	146	886	185	136	371	210	197	786	377	570	93	298	0	0	0	0	0	0	11	0
HOG0010274	29	235	6815	524	7.689	92	0.391	44	0.187	377	109	437	607	33	304	212	258	487	771	134	176	137	259	604	810	219	195	28	134	0	0	0	0	0	0	524	0
HOG0010286	31	752	23312	191	0.819	426	0.566	138	0.184	1306	573	1418	1914	806	990	851	1196	1172	3119	519	737	1421	1003	1004	1521	1181	1487	188	715	0	0	0	1	0	0	190	0
HOG0010288	28	344	9632	488	5.066	189	0.549	95	0.276	895	11	301	794	139	1068	41	92	411	182	71	641	960	666	1107	476	301	466	27	495	0	0	0	0	0	0	488	0
HOG0010289	29	435	12615	1220	9.671	327	0.752	212	0.487	563	291	464	680	527	668	463	578	629	1486	270	363	678	699	518	932	487	614	157	328	0	0	0	0	0	0	1220	0
HOG0010295	30	283	8490	1360	16.019	127	0.449	84	0.297	583	97	432	430	372	599	107	384	437	624	183	188	164	312	393	516	433	552	70	254	0	0	0	0	0	0	1360	0
HOG0010299	30	314	9420	149	1.582	237	0.755	168	0.535	666	97	345	483	365	733	478	355	236	1123	75	308	681	530	381	779	391	681	182	382	0	0	0	0	0	0	149	0
HOG0010303	29	881	25549	553	2.164	405	0.46	230	0.261	1136	755	1244	1896	878	1309	650	990	1542	2501	323	1053	2231	851	1172	2846	1166	1481	283	689	0	0	0	1	0	0	552	0
HOG0010304	29	372	10788	40	0.371	224	0.602	157	0.422	1527	400	164	313	324	842	246	408	131	1665	234	322	559	180	834	771	588	606	238	396	0	0	0	0	0	0	40	0
HOG0010308	28	239	6692	256	3.825	202	0.845	150	0.628	464	289	205	299	497	570	120	425	365	802	252	238	81	196	68	348	264	639	111	203	0	0	0	0	0	0	256	0
HOG0010310	29	568	16472	32	0.194	174	0.306	105	0.185	763	382	769	807	708	1305	543	956	1248	1414	482	737	938	834	971	1375	740	807	116	545	0	0	0	0	0	0	32	0
HOG0010317	30	352	10560	86	0.814	178	0.506	80	0.227	784	750	445	475	333	729	323	169	732	1035	168	381	342	525	794	785	608	623	176	297	0	0	0	0	0	0	86	0
HOG0010322	29	355	10295	384	3.73	130	0.366	89	0.251	766	168	485	1024	895	461	164	633	588	872	285	482	413	308	499	535	312	600	170	251	0	0	0	0	0	0	384	0
HOG0010323	29	159	4611	56	1.214	100	0.629	45	0.283	336	209	124	124	360	296	13	270	254	761	193	40	117	143	165	351	299	250	140	110	0	0	0	0	0	0	56	0
HOG0010327	29	201	5829	58	0.995	114	0.567	78	0.388	295	34	322	467	330	284	130	330	390	650	198	231	201	257	253	496	248	449	19	187	0	0	0	0	0	0	58	0
HOG0010330	29	263	7627	84	1.101	124	0.471	73	0.278	835	38	87	258	568	800	161	364	51	905	256	260	375	208	403	442	416	755	139	222	0	0	0	0	0	0	84	0
HOG0010333	29	320	9280	482	5.194	263	0.822	185	0.578	921	109	331	1128	288	189	134	305	735	1093	206	250	291	933	625	373	349	424	41	73	0	0	0	1	0	0	481	0
HOG0010334	30	317	9510	190	1.998	93	0.293	51	0.161	647	2	349	1070	292	204	210	495	1130	1047	397	337	136	860	565	433	326	457	117	246	0	0	0	0	0	0	190	0
HOG0010340	29	215	6235	337	5.405	138	0.642	42	0.195	415	58	187	491	279	389	199	327	292	663	155	161	178	420	430	302	360	325	114	153	0	0	0	0	0	0	337	0
HOG0010342	28	229	6412	316	4.928	128	0.559	93	0.406	384	163	363	293	284	333	76	298	418	384	266	602	314	241	337	181	317	443	52	347	0	0	0	0	0	0	316	0
HOG0010344	30	167	5010	31	0.619	65	0.389	13	0.078	428	86	153	170	241	776	49	297	106	338	205	150	376	222	311	311	204	323	91	142	0	0	0	0	0	0	31	0
HOG0010345	30	166	4980	53	1.064	38	0.229	24	0.145	566	86	179	167	264	720	2	346	118	373	171	150	308	232	297	365	190	189	90	114	0	0	0	0	0	0	53	0
HOG0010348	29	339	9831	595	6.052	145	0.428	27	0.08	776	151	264	309	633	584	223	466	465	989	313	484	396	467	605	697	274	654	151	335	0	0	0	0	0	0	595	0
HOG0010349	31	338	10478	621	5.927	140	0.414	64	0.189	870	129	312	345	583	766	236	459	473	1091	370	466	431	390	595	588	372	814	206	361	0	0	0	1	0	0	620	0
HOG0010353	25	170	4250	0	0.0	49	0.288	19	0.112	92	29	105	517	327	151	194	190	300	503	57	152	319	127	285	304	96	327	25	150	0	0	0	0	0	0	0	0
HOG0010357	17	170	2890	280	9.689	144	0.847	86	0.506	129	95	111	200	173	88	65	127	177	361	64	125	33	98	189	200	160	141	11	63	0	0	0	0	0	0	280	0
HOG0010361	29	232	6728	62	0.922	114	0.491	70	0.302	440	145	241	217	756	573	178	483	222	652	182	223	174	74	193	496	329	544	215	329	0	0	0	0	0	0	62	0
HOG0010366	30	205	6150	113	1.837	90	0.439	46	0.224	278	145	386	310	166	697	405	140	282	450	73	288	194	251	318	518	357	520	121	138	0	0	0	0	0	0	113	0
HOG0010368	29	138	4002	27	0.675	76	0.551	23	0.167	331	29	278	585	86	285	35	123	462	348	198	110	61	301	170	150	191	145	2	85	0	0	0	0	0	0	27	0
HOG0010376	21	1218	25578	2909	11.373	1153	0.947	937	0.769	1172	1011	659	1638	671	1144	1232	591	2431	1653	336	868	1282	1378	1754	2222	1128	925	166	408	0	0	0	0	0	0	2909	0
HOG0010387	26	407	10582	475	4.489	211	0.518	89	0.219	541	396	254	437	777	442	281	941	377	965	258	525	373	305	577	555	648	690	316	449	0	0	0	0	0	0	475	0
HOG0010393	29	150	4350	111	2.552	58	0.387	24	0.16	779	118	59	178	127	386	67	30	101	202	223	58	479	373	247	342	210	181	0	79	0	0	0	0	0	0	111	0
HOG0010394	28	485	13580	251	1.848	303	0.625	181	0.373	328	115	940	408	579	2570	64	193	550	175	214	838	747	1552	930	1581	357	234	61	893	0	0	0	1	0	0	250	0
HOG0010408	28	222	6216	314	5.051	207	0.932	148	0.667	413	105	365	452	213	387	184	338	231	576	191	121	299	248	364	527	235	372	120	161	0	0	0	0	0	0	314	0
HOG0010410	28	327	9156	284	3.102	189	0.578	82	0.251	318	221	201	505	727	409	243	360	631	1356	159	419	94	617	404	552	456	515	248	437	0	0	0	1	0	0	283	0
HOG0010416	30	308	9240	260	2.814	162	0.526	87	0.282	495	327	577	563	374	735	316	566	560	1027	335	307	278	278	410	503	428	629	4	268	0	0	0	3	0	0	257	0
HOG0010418	28	325	9100	297	3.264	142	0.437	104	0.32	530	142	273	630	377	656	217	359	662	930	238	324	667	371	501	680	439	550	84	173	0	0	0	1	0	0	296	0
HOG0010422	28	419	11732	814	6.938	317	0.757	252	0.601	535	140	587	475	596	426	328	703	408	1229	247	779	487	486	388	1022	926	695	133	328	0	0	0	0	0	0	814	0
HOG0010425	27	607	16389	462	2.819	99	0.163	58	0.096	1266	396	941	1439	609	578	639	704	1043	1872	510	607	527	550	626	1007	780	730	210	893	0	0	0	4	0	0	458	0
HOG0010432	30	205	6150	54	0.878	83	0.405	56	0.273	473	144	330	235	399	308	91	365	411	699	134	162	105	174	362	564	265	519	209	147	0	0	0	0	0	0	54	0
HOG0010436	29	249	7221	161	2.23	153	0.614	77	0.309	458	49	80	279	439	406	212	490	290	865	175	163	290	221	358	655	418	601	119	492	0	0	0	3	0	0	158	0
HOG0010437	28	243	6804	186	2.734	116	0.477	49	0.202	355	37	130	323	494	309	177	508	375	664	257	223	194	194	313	386	397	684	133	465	0	0	0	0	0	0	186	0
HOG0010440	23	186	4278	166	3.88	149	0.801	124	0.667	316	229	91	111	159	211	101	196	191	329	27	217	250	107	70	504	637	233	56	77	0	0	0	0	0	0	166	0
HOG0010443	26	211	5486	307	5.596	114	0.54	61	0.289	330	127	292	313	262	310	118	275	375	425	88	268	259	213	268	279	281	479	96	121	0	0	0	0	0	0	307	0
HOG0010444	31	209	6479	265	4.09	97	0.464	49	0.234	430	127	415	381	354	422	120	298	527	591	70	353	208	257	267	390	256	509	118	121	0	0	0	0	0	0	265	0
HOG0010446	23	183	4209	671	15.942	50	0.273	27	0.148	318	97	159	264	157	258	24	159	289	444	79	66	179	300	233	145	108	187	2	70	0	0	0	3	0	0	668	0
HOG0010450	29	580	16820	677	4.025	235	0.405	169	0.291	1006	1100	1033	1097	577	1022	316	578	833	1273	427	811	1065	659	824	961	832	979	250	500	0	0	0	0	0	0	677	0
HOG0010451	29	560	16240	655	4.033	184	0.329	100	0.179	819	1060	720	1181	498	981	330	767	929	1213	428	963	925	570	635	737	1194	940	204	491	0	0	0	0	0	0	655	0
HOG0010452	27	553	14931	854	5.72	249	0.45	174	0.315	871	204	405	617	1004	1026	116	1145	392	1938	430	487	683	416	700	1131	733	968	310	501	0	0	0	0	0	0	854	0
HOG0010453	29	527	15283	284	1.858	274	0.52	183	0.347	925	256	488	624	971	1148	123	1188	265	2090	457	456	712	522	715	1187	698	1139	356	679	0	0	0	0	0	0	284	0
